user_id,car_id,rating
45,77,4
1,32,2
28,95,2
34,54,3
50,12,1
44,5,3
17,47,5
21,14,2
11,51,4
34,38,2
34,82,3
34,52,1
38,97,4
30,51,1
5,29,4
10,56,1
10,17,4
20,88,5
34,6,5
2,77,3
43,75,3
47,23,3
16,8,4
40,4,1
3,96,3
27,93,2
19,21,5
18,92,2
22,21,1
5,12,2
46,34,1
14,90,5
27,73,2
47,86,3
48,61,1
26,36,1
8,99,5
15,47,2
28,87,2
45,26,3
7,3,3
47,18,2
38,99,3
15,64,1
37,28,2
39,57,1
39,86,2
44,25,1
13,84,1
4,10,3
41,18,4
34,8,1
44,83,2
41,6,4
26,64,2
45,70,5
33,53,5
6,70,4
30,75,1
3,31,5
36,24,2
20,92,3
4,79,1
2,79,3
8,26,3
45,44,5
6,26,4
19,84,1
20,12,1
26,14,5
11,100,5
43,3,1
6,50,2
5,23,2
44,2,5
40,2,4
1,63,5
9,17,1
11,15,3
30,95,1
5,62,4
44,50,5
11,9,2
12,99,3
1,40,4
29,72,3
41,14,4
30,35,5
37,5,3
14,26,4
25,42,1
18,40,3
23,63,1
25,17,1
47,66,5
40,51,3
6,6,3
7,51,2
15,29,1
30,27,4
29,38,1
33,27,1
4,86,2
10,5,3
10,97,5
31,47,4
45,88,4
8,5,5
47,68,4
45,2,3
31,36,4
26,43,3
5,20,3
10,38,2
46,12,2
13,62,2
25,97,4
43,76,4
36,68,5
37,72,2
49,92,2
9,51,5
14,40,1
22,11,1
46,21,2
46,36,1
40,15,5
47,73,5
9,74,4
26,41,3
25,90,3
38,2,2
27,34,3
17,43,3
44,51,1
7,52,5
24,33,1
29,63,3
22,26,4
50,85,1
7,81,4
41,49,4
22,92,5
40,49,1
32,13,3
19,62,5
49,45,5
30,16,3
18,1,3
28,94,3
4,1,5
39,3,2
10,83,2
33,87,4
32,50,5
8,65,1
3,88,3
8,54,1
47,67,3
33,92,2
35,96,3
16,68,4
37,54,5
14,95,2
7,74,1
23,85,3
48,19,4
29,60,2
2,1,5
20,11,2
2,67,4
20,5,5
38,94,1
34,53,4
35,86,4
24,81,2
30,59,1
50,81,1
40,66,5
25,73,3
46,4,2
29,98,5
11,70,2
21,42,4
41,38,2
17,37,1
38,76,5
42,86,5
27,57,3
40,98,4
45,53,2
45,17,2
21,92,2
46,64,2
43,65,3
36,26,5
21,11,3
36,59,3
34,55,5
33,36,4
19,99,4
43,81,3
45,98,1
26,66,5
9,73,1
1,89,5
43,42,1
39,35,3
50,44,3
30,98,4
19,44,3
49,61,1
10,57,1
47,12,3
8,95,5
17,87,5
16,70,1
18,89,4
15,59,2
41,26,2
16,71,1
23,26,5
22,7,5
7,9,3
48,72,2
23,93,2
31,94,4
39,99,2
42,17,3
44,60,5
34,3,5
43,40,2
23,39,1
4,93,1
13,82,1
16,42,4
2,55,3
42,34,3
13,13,2
32,96,3
39,46,4
29,62,1
44,57,4
47,10,1
39,84,5
1,94,1
3,45,2
4,18,5
25,48,1
46,79,1
15,49,1
24,68,4
37,61,5
43,70,3
13,98,1
4,59,4
45,74,3
34,57,2
41,3,5
5,54,1
9,99,4
42,35,2
18,62,1
24,3,3
38,13,5
47,89,1
4,14,5
34,11,1
3,92,5
9,67,1
34,76,2
9,79,1
5,11,3
34,88,4
15,38,3
5,48,2
18,70,5
48,77,4
5,77,1
50,40,5
32,62,5
3,56,2
40,91,5
45,33,3
16,40,4
33,59,3
48,41,5
43,45,1
42,100,3
38,60,5
31,23,2
10,32,3
30,39,2
36,2,5
29,12,2
46,27,1
41,17,2
24,35,3
30,71,2
41,96,2
28,60,5
29,22,4
20,96,4
50,68,3
17,12,1
10,65,2
18,50,5
12,36,3
35,52,5
12,7,5
11,33,3
11,58,2
34,46,2
29,4,1
35,13,1
39,15,5
29,75,4
32,2,4
22,75,3
3,81,4
28,93,5
47,80,5
20,6,3
5,3,3
1,58,4
38,15,2
35,64,1
25,24,4
18,15,4
16,27,4
46,89,1
29,53,3
46,50,4
29,64,4
24,60,2
3,20,1
30,78,1
44,84,4
9,38,1
22,2,3
13,81,5
18,94,2
46,95,3
45,89,1
38,41,3
22,51,1
17,76,1
46,32,4
20,33,2
40,32,2
33,2,1
33,77,1
13,26,2
38,90,2
50,15,2
42,44,1
40,75,5
3,6,1
6,73,1
50,76,2
28,62,4
47,7,3
20,80,4
6,58,2
3,41,4
42,14,3
18,12,4
13,25,5
19,55,4
45,8,5
32,51,4
18,83,5
32,56,1
3,28,2
35,61,5
15,97,4
49,94,5
31,58,5
24,20,5
4,92,4
20,60,2
49,51,1
36,98,4
34,36,2
12,3,5
21,15,1
35,26,4
48,94,2
44,14,2
37,69,5
41,62,4
47,14,1
20,2,1
25,28,2
35,5,1
40,76,4
45,23,3
10,67,2
29,10,4
30,1,5
20,8,3
12,1,1
20,28,1
43,37,5
12,37,1
49,44,4
47,79,4
20,78,2
9,37,4
26,29,1
35,70,5
5,33,1
14,12,2
20,53,2
24,43,2
25,50,5
39,95,3
50,23,4
38,84,5
16,50,2
8,85,1
8,29,5
47,34,1
10,30,2
18,17,2
8,47,1
12,91,1
46,68,1
1,19,5
48,69,1
26,62,4
2,64,1
33,41,1
48,13,1
13,31,1
11,68,2
38,4,3
6,98,2
13,23,3
45,75,1
24,54,1
1,76,2
7,15,5
19,60,5
25,33,1
32,35,4
11,99,2
2,46,1
3,85,2
8,48,2
6,28,5
29,26,1
12,5,2
48,37,4
36,15,3
48,87,2
44,43,5
21,23,3
16,47,5
15,25,4
15,68,5
13,86,3
34,78,5
4,52,3
29,28,3
8,16,2
36,30,2
2,49,5
4,90,1
7,95,4
10,39,5
31,71,1
42,61,2
36,84,4
7,54,1
44,45,2
47,13,5
9,26,1
15,10,2
42,72,1
26,91,5
4,50,3
36,60,2
25,18,3
36,74,1
50,69,1
35,98,1
21,81,5
15,35,4
7,32,3
10,73,5
25,2,3
7,85,2
3,42,5
39,41,1
11,24,4
46,19,4
26,42,5
40,97,4
3,73,1
