user_id,age,gender,preferred_car_type,preferred_fuel_type
1,27,Female,Full-size,Gasoline
2,55,Male,Sport,Gasoline
3,57,Female,Economy,Electric
4,44,Female,Compact,Gasoline
5,46,Male,Sport,Hybrid
6,25,Female,Luxury,Gasoline
7,39,Female,Economy,Hybrid
8,24,Male,Luxury,Diesel
9,53,Female,Full-size,Hybrid
10,36,Male,Full-size,Electric
11,56,Male,Compact,Electric
12,36,Male,Sport,Hybrid
13,62,Male,Compact,Diesel
14,37,Female,Minivan,Gasoline
15,58,Male,Economy,Hybrid
16,30,Female,Sport,Gasoline
17,66,Male,Minivan,Gasoline
18,55,Male,Sport,Electric
19,61,Male,Minivan,Gasoline
20,64,Male,Minivan,Electric
21,38,Male,Full-size,Gasoline
22,53,Male,Mid-size,Diesel
23,35,Male,Economy,Gasoline
24,31,Male,SUV,Gasoline
25,20,Female,SUV,Gasoline
26,28,Female,Compact,Diesel
27,33,Female,Sport,Diesel
28,41,Female,Luxury,Diesel
29,45,Female,Compact,Diesel
30,67,Female,Full-size,Gasoline
31,58,Female,Minivan,Hybrid
32,34,Male,Economy,Gasoline
33,37,Male,Full-size,Diesel
34,46,Male,Sport,Hybrid
35,23,Female,Mid-size,Diesel
36,22,Male,Economy,Electric
37,27,Female,Sport,Electric
38,62,Male,SUV,Diesel
39,50,Female,Economy,Electric
40,49,Male,Economy,Hybrid
41,38,Female,SUV,Gasoline
42,39,Male,Mid-size,Gasoline
43,30,Male,Compact,Gasoline
44,52,Male,Economy,Gasoline
45,65,Male,Sport,Diesel
46,34,Male,SUV,Gasoline
47,55,Male,Luxury,Hybrid
48,54,Male,Luxury,Electric
49,27,Male,Economy,Gasoline
50,31,Male,Sport,Gasoline
